Which of the following describe your relationship to RA? (check all that apply),Which of the following best describes your approach to RetroAchievements?,Describe briefly what makes an RA set well-designed,"What one set on RA best illustrates what you would consider ""perfect"" set design?",Explain what makes the linked RA set a good example of perfect set design.,How do you feel about the following types of achievements? [Standard Progression & Milestones],"How do you feel about the following types of achievements? [Completion (100%, collectables, all stages/missions)]","How do you feel about the following types of achievements? [Grinding / Hyper-Completion (reach level 99, collect every drop, reach 1000 kills with every weapon, etc)]",How do you feel about the following types of achievements? [Damageless Boss Challenges],How do you feel about the following types of achievements? [Deathless Boss Challenges],"How do you feel about the following types of achievements? [Other Boss Challenges (weapon restrictions, party restrictions, etc)]","How do you feel about the following types of achievements? [Level Challenges (no powerups, don't press left, no jumping, etc)]","How do you feel about the following types of achievements? [Easter Eggs (highlighting one-off points of interest in a game, intended by the game developers)]","How do you feel about the following types of achievements? [Developer-Created Challenges (highlighting one-off points of interest in a game, NOT intended by the game developers)]",How do you feel about the following types of achievements? [Score Challenges],How do you feel about the following types of achievements? [Speedrun Challenges],"Are there any other types of achievement types that you enjoy that were not mentioned in the previous question? If so, please describe them here.",How do you prefer progression milestones to be broken down?,What additional content do you expect out of an RA set beyond simple game completion?,How willing are you to play a game multiple times for the purpose of mastering a set?,Which of the following applies to your experiences playing RA sets? [I have skipped achievements for being too difficult],Which of the following applies to your experiences playing RA sets? [I have skipped achievements for being a type of achievement I don't like],Which of the following applies to your experiences playing RA sets? [I have not played *an entire set* because it contained a small number of achievements I didn't want to complete],"Which of the following applies to your experiences playing RA sets? [I feel the need to master every set that I play, even if I don't care for some of the achievements]",Which of the following applies to your experiences playing RA sets? [I mostly play games of a specific series or genre]
"I am a player, I am a Developer (or Jr Dev, or former Dev), I volunteer (or have previously volunteered) on one of the various RA teams","I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","In order of importance:-
1) Guides players through a playthrough, highlighting missables and punctuating significant progress markers.
2) Shows off easter eggs or hidden content that is out of the way and interesting
3) Provide a checklist and public record for in-game completionism
4) Deliver additional challenges over and above the regular game design",https://retroachievements.org/game/3178,"This is a game where information available on the internet is sparse and frequently outright wrong. Rumours abound all over the internet about pets that you simply can't get, there's misinformation about recipes and hybrid crops/trees and how they work. This set is one of the best times I've had with RA because it's a simple completionist list of things that you can experience in the game and an ongoing record of my having accomplished them.

Each chapter has an achievement, which gives it just that extra little beat to make you stop and appreciate the progress you're making and drive to push you to the next one. Every event has its own achievement, so you know exactly what to try and trigger to see all the content that the game has to offer, and know when you've seen everything.

There are only a few instances of achievements that go beyond the game design as implemented, and where they do it's just to encourage you to engage with the mechanics for just long enough but not excessively long.

There are no major hard mode achievements or arbitrary challenge achievements (which DO have their place in other genres), it's not forcing its way between you and the gameplay, it's a set that understands what the game is and highlights the best aspects of it. And it really made me enjoy and stick at something that I absolutely would not have stuck at without these things.",Love,Love,Dislike,Like,Like,Like,Like,Love,Dislike,Dislike,Dislike,"A lot of my answers have the caveat of ""when done well"". I think they all have place in a dev's toolkit, but they have to work WITH the game rather than just being there for the sake of arbitrary challenge.","I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",4,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Players have to engage with all aspects of the game; no tedious or niche challenges,https://retroachievements.org/game/14531,"You have to engage with every aspect of the game, and the challenges aren't too absurd.",Love,Love,Neutral,Hate/Avoid,Hate/Avoid,Neutral,Hate/Avoid,Love,Love,Like,Dislike,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",4,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
"I am a player, I am a Developer (or Jr Dev, or former Dev), I volunteer (or have previously volunteered) on one of the various RA teams","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Covers all content of a game. Showcases lesser known aspects/easter eggs of games. Has challenges that push beyond just beating the game when appropriate.,https://retroachievements.org/game/228,,Like,Love,Neutral,Love,Like,Love,Love,Love,Love,Like,Love,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",4,Neutral,Neutral,Disagree,Neutral,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Everything the game has to over is covered, such as progression, collectable, multiple endings if applicable, and even some easter eggs that would be neat for someone to discover. As well as challenge achievements to spice up some segments and make certain easier bosses or levels a bit more challenging.",https://retroachievements.org/game/677,"Exactly what I described a perfect set to be, this set has everything progression and collectable wise with the presents and battle memory, and it even has battle conditions for each major encounter in the game as well as the fact it even has some cool easter egg achievements.",Love,Love,Neutral,Dislike,Like,Love,Like,Love,Neutral,Dislike,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",3,Neutral,Agree,Agree,Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Obtainable, but challenging.",https://retroachievements.org/game/13095,Challenging but obtainable enough to keep coming back to,Like,Like,Neutral,Dislike,Like,Dislike,Hate/Avoid,Like,Like,Like,Neutral,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",4,Agree,Agree,Neutral,Strongly Disagree,Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",,https://retroachievements.org/game/9443,"It really encourages you to interact with every aspect of the game, but all without being too esoteric or grindy. The achievements to get specific movesets on specific mons require long, planned-out DNA combo chains, but they're really not that difficult at endgame when you can grind in Task Canyon or Transfield (save for susanoomon, but he's a hard mon to get anyway. may as well go all-out if you need to get him for the gallery!). 100% quest and gallery requirements make sense, and I like that there's even files provided to be able to do the otherwise version-exclusive stuff! It's definitely a ""multiple playthroughs"" set, but I think that's ok for an RPG, especially a relatively short and shallow one like this. I had a real blast with it! Not a total cakewalk, not something you'd have to grind for ages on.",Like,Like,Like,Neutral,Like,Like,Neutral,Like,Neutral,Neutral,Neutral,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",5,Agree,Strongly Agree,Agree,Agree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Follow the flow of the game, cover everything the game has to offer, offer challenge by asking specific challenge like restriction on tools too strong in the game.",https://retroachievements.org/game/764,Offer many challenge of boss fight using all the jobs the game offer. Offer unique challenge on the run. Cover game and post game.,Love,Love,Neutral,Like,Like,Love,Dislike,Love,Like,Neutral,Neutral,Solo character challenge,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",4,Agree,Agree,Disagree,Strongly Disagree,Neutral
I am a player,"I don't pay much attention to RA, but I will occasionally look at the RA set to see if there are any challenges that I want to try",Innovative ways to play the game presenting challenges through resourcefulness not just difficulty/grinding.,https://retroachievements.org/game/3438,Reasonable challenges encouraging different gameplay style (buster only). Nothing too stupid or grindy. No damage is reasonable in short 2d platformers with lots of options.,Love,Neutral,Hate/Avoid,Neutral,Like,Like,Like,Neutral,Dislike,Dislike,Hate/Avoid,Beat the game using only X power up. Beat the stage without using a vehicle or using a vehicle in unintended ways. Beat X boss with Y weapon (when it's not an effective choice).,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",2,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral
"I am a Developer (or Jr Dev, or former Dev)",I am not a player.,"lots of fun achievements. they don't have to be hard, they don't have to be bold, they don't have to be complex, as long as they're fun to do, they're good",https://retroachievements.org/game/706,"it makes you do things that you would never consider doing before, and it's loads of fun",Neutral,Like,Hate/Avoid,Neutral,Neutral,Love,Love,Love,Love,Like,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game",2,Neutral,Disagree,Neutral,Strongly Disagree,Disagree
I volunteer (or have previously volunteered) on one of the various RA teams,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Everything that promotes a challenge. 
Gaming is a skill, earning cheevos is a skill, not everyone is meant to be a god gamer just as every basketball player isn't Micheal Jordan. I don't mind easy sets at all, and even play them. But most masteries should be truly a mastery. ",https://retroachievements.org/game/11094,It highlights challenge while staying within the realm of possible. ,Like,Love,Love,Like,Love,Love,Like,Love,Love,Love,Like,Yes multiplayer vs bots if the game has multi aspect! ,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","One that encourages the player to see all aspects of a game. Ones that incorporate additional challenge, without demanding perfection for extended periods of time. I'm more than happy to aim for 75% completion in any game I start, and I'm really more interested in tracking Beats than Masteries, but am willing to challenge myself on games that I adore.",https://retroachievements.org/game/14202,"The Rock Band: Unplugged set is every sort of perfect - requires not just progression and play with every song in the game, but goes the extra mile and adds unique challenges for each song that uses parts of the game I'd normally wouldn't touch, like Band Survival. I'm not a believer in limits for achievements in a set, so I'd honestly say there should be achievements for gold-starring each song, but what we do have here is pretty dang perfect anyway, even if I don't think I have the dexterity to finish Constant Motion on Expert.",Love,Love,Like,Dislike,Dislike,Like,Neutral,Love,Love,Like,Neutral,"I know they might fall under unwelcome concepts for no effort, but I really appreciate achievements for watching the credits of a game. I think the developers deserve our time and appreciation for their work.","I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",4,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
I am a player,"I don't pay much attention to RA, but I will occasionally look at the RA set to see if there are any challenges that I want to try",i like the Easter egg/lore kind so much,https://retroachievements.org/game/21552,new so i just put the one i played the most sorry if this is unhelpful ,Neutral,Like,Neutral,Love,Neutral,Neutral,Like,Love,Neutral,Dislike,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable",3,Disagree,Agree,Neutral,Neutral,Disagree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","A well-designed set not only includes progression and completion achievements, but will also include challenges to push the limits of what is possible in a game without requiring a player to be one of the best players in the world. A well designed challenge by a set dev can be an interesting way to learn about game mechanics one may not have known about as well as being an alternative (usually more difficult) way to play a game. I do not mind damageless achievements or speedrun achievements (so long as the speedrun achievement is made with a casual audience in mind. I enjoy learning routes to beat games faster, I don't enjoy having to constantly replay a split to save a few seconds. I also prefer damageless challenges that don't require me to replay a decent amount into the game to get another attempt off the ground).",https://retroachievements.org/game/25450,"I really like this set because while it asks a lot out of the player in order to master, there is nothing in this set that is something the game's developer's did not intend for players to be able to complete. The bonus room challenges add a lot of difficulty to minigames that many players may only usually play a handful of times, but completing all the achievements associated with the bonus room took me an extra 24 hours of playtime. While I'm sure this difficulty would be frustrating to some players, with research I was able to find online walkthroughs proving that all of these challenges were complete-able. I think part of why I liked this set so much is that the challenges set by the set-dev didn't just come across like they saw what the max score was in the code and then slapped an achievement behind getting it,  while they required players to get very high scores, they don't force perfection. The sets I enjoy most are challenging, sometimes quite grindy, and I am more than happy to do something long and arbitrary for the sake of doing something long and arbitrary, but if something is going to be an achievement just for the sake of it being an achievement, I would usually prefer it to just be in a subset.

 I would consider an example for ""an achievement for the sake of it being an achievement"" to be the Sharpshooter achievement in Bully on the PS2. This is a game I really enjoy that I have 100% multiple times over, but I have never felt like sitting down to play the set knowing there is an achievement for playing a short minigame that will likely take as long as the rest of the set if not longer. There is no reward in game for hitting this milestone, and it just comes across as someone read the code and called it a day rather than making an engaging challenge.",Love,Love,Love,Like,Like,Dislike,Dislike,Love,Like,Neutral,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",4,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",A set that has good progression achievements and not ridiculously hard challenge achievements.,I guess it would be https://retroachievements.org/game/11260,,Love,Neutral,Hate/Avoid,Neutral,Neutral,Dislike,Dislike,Neutral,Dislike,Neutral,Dislike,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",3,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","A set that encompasses all the different aspects of the game, including easter egg type achievements. As well as a good variety of challenge type achievements.",https://retroachievements.org/game/25431,"Includes basically everything you can do in the game, including little easter eggs and events that I would very likely miss in a regular playthrough of the game. Mastery feels very doable to do, with few, if any, unnecessary hard points. But at the same time, difficult enough that it isn't a slog to get through to the mastery point. There are no challenge achievements, however if there were, a perfect set would have a few challenges that are thematically appropriate and challenging, but not set to be too hard intentionally by the developer.",Like,Like,Dislike,Dislike,Like,Love,Love,Love,Love,Neutral,Like,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Agree,Agree,Disagree,Strongly Disagree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Full 100% coverage of all in-game content/challenges,https://retroachievements.org/game/337,It covers all possible in-game content and challenges whilst also setting additional challenges that push the player to demonstrate a fair level of mastery of the content and mechanics.,Love,Love,Like,Like,Like,Neutral,Neutral,Love,Like,Like,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",3,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
I am a player,"I don't pay much attention to RA, but I will occasionally look at the RA set to see if there are any challenges that I want to try","I see the images to select a set to do, if this set have a great images o interesting images I do this set",https://retroachievements.org/game/11319,The images and the nostalgic,Like,Like,Hate/Avoid,Dislike,Dislike,Dislike,Neutral,Love,Love,Like,Like,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",4,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",A good set covers everything a certain game has to offer. No stone unturned and can also include unique challenges that fit with the game's core design where it makes sense. Achievements that are challenging but reasonable are a good fit for a core set.,https://retroachievements.org/game/11247,It has everything you would expect to see in an achievement set on an official platform while also including more obscure achievements that a casual player wouldn't think to look for.,Love,Love,Like,Neutral,Like,Like,Neutral,Love,Love,Like,Dislike,N/A,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, full-game challenges, as defined by the dev",2,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree
"I am a player, I am a Developer (or Jr Dev, or former Dev), I volunteer (or have previously volunteered) on one of the various RA teams","I don't pay much attention to RA, and I don't change my playstyle with regards to the RA achievement set. I earn whatever achievements I earn",All meaningful available in-game content has been covered. Additional challenges that are each unique so the challenges don't repeat too often. Something too extreme should be made into a subset.,https://retroachievements.org/game/9190,"The set covers everything the game has to offer while providing additional achievements for secrets or minor rewards. There are challenges for some boss fights, not all, which allows boss fights to not feel stale or like a chore. Other challenges get placed in dungeons or in between dungeons. The set also utilizes the GBA function through the in-game item Tingle Tuner having achievements that require specific functions from the item or handing over golden statues found using this item for large value Rupees in return. I did not 100% this set but I still enjoyed everything the set offered to me.",Love,Love,Hate/Avoid,Dislike,Neutral,Love,Like,Love,Love,Neutral,Neutral,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",3,Agree,Disagree,Agree,Disagree,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set",I like when a set gives a good challenge but doesn't make me hate the game. Some challenges are too much and seem pointless. ,https://retroachievements.org/game/3151,"I'm biased because it's a favorite game of mine but I like how it gives you some new challenges that's not in the game of getting the key without losing a life etc, but they're not overly difficult. ",Love,Love,Like,Neutral,Like,Neutral,Dislike,Love,Neutral,Like,Dislike,None that I can think of,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Agree,Agree,Strongly Agree,Strongly Agree,Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Balance, a mix of progression, challenge and even grind/collectable things in a way that doesn't make the game take much more time than it was meant to be played.",https://retroachievements.org/game/4004,"   Like i said before, it is balanced. There's progression achievements for every stage and route of the same stages but it avoids having progression spam for beating every single stage route with every single character.
   It also has achievements for collectibles but just the ones not too much grindy to get in a game that doesn't need that type of achievement and while there is a few challenges like 1cc and speedrun, it also doesn't bloat too much with generic achievements like no damage, no left and etcetera because **the developer actually played the game and mastered it, so he knows well the challenges the game itself offers to the player.**

   If i had to make a Tl;Dr, 90% of what makes it a good set is because the developer actually played the game and the set itself so he knows what to do and what to not do, something quite rare for RA developers who creates a bad set design for a lot of games on RA ""because we saw someone who plays the same game for 10 years doing it on Youtube and it's possible, so let's make bad achievements we are never going to test or try to earn without cheats and emulator features.""",Love,Like,Hate/Avoid,Like,Like,Dislike,Hate/Avoid,Like,Neutral,Dislike,Like,"Achievements teaching the player how to play the game, like combo achievements in Fighting Games.","I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",2,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
